C:\Users\ma1008\Documents\Audio Precision\ATS 1.60\Quick Launch\A-A FFT.ats2, 12/19/14 16:18:49
FFT.Frequency,     FFT.ChA Amplitude, ,FFT.ChB Amplitude, ,,,,
Source 1,          Data 1,            ,Data 3,            ,,,,
Hz,                dBV,               ,dBV,               ,,,,
4.75527365692,     -94.476415728,     ,-68.2289057719,    ,,,,
4.8500627419,      -94.476415728,     ,-68.2289057719,    ,,,,
4.94674130157,     -94.476415728,     ,-68.2289057719,    ,,,,
5.04534699954,     -94.476415728,     ,-68.2289057719,    ,,,,
5.14591825102,     -94.476415728,     ,-68.2289057719,    ,,,,
5.24849423673,     -94.476415728,     ,-68.2289057719,    ,,,,
5.35311491694,     -94.476415728,     ,-68.2289057719,    ,,,,
5.45982105006,     -94.476415728,     ,-68.2289057719,    ,,,,
5.56865420565,     -94.476415728,     ,-68.2289057719,    ,,,,
5.67965678312,     -94.476415728,     ,-68.2289057719,    ,,,,
5.79287202749,     -94.476415728,     ,-68.2289057719,    ,,,,
5.90834404342,     -94.476415728,     ,-68.2289057719,    ,,,,
6.0261178175,      -94.284027761,     ,-70.2707039942,    ,,,,
6.14623923041,     -94.284027761,     ,-70.2707039942,    ,,,,
6.26875508018,     -94.284027761,     ,-70.2707039942,    ,,,,
6.39371309429,     -94.284027761,     ,-70.2707039942,    ,,,,
6.52116195578,     -94.284027761,     ,-70.2707039942,    ,,,,
6.65115131438,     -94.284027761,     ,-70.2707039942,    ,,,,
6.78373181075,     -94.284027761,     ,-70.2707039942,    ,,,,
6.91895509697,     -94.284027761,     ,-70.2707039942,    ,,,,
7.05687385146,     -94.284027761,     ,-70.2707039942,    ,,,,
7.19754180498,     -94.284027761,     ,-70.2707039942,    ,,,,
7.34101375751,     -94.284027761,     ,-70.2707039942,    ,,,,
7.48734560423,     -94.284027761,     ,-70.2707039942,    ,,,,
7.63659435138,     -94.284027761,     ,-70.2707039942,    ,,,,
7.78881814331,     -94.284027761,     ,-70.2707039942,    ,,,,
7.9440762829,      -94.284027761,     ,-70.2707039942,    ,,,,
8.10242925584,     -94.284027761,     ,-70.2707039942,    ,,,,
8.263938752,       -94.284027761,     ,-70.2707039942,    ,,,,
8.42866769154,     -94.284027761,     ,-70.2707039942,    ,,,,
8.59668025095,     -94.284027761,     ,-70.2707039942,    ,,,,
8.76804188173,     -94.284027761,     ,-70.2707039942,    ,,,,
8.94281934481,     -94.284027761,     ,-70.2707039942,    ,,,,
9.12108072732,     -94.284027761,     ,-70.2707039942,    ,,,,
9.30289547797,     -94.284027761,     ,-70.2707039942,    ,,,,
9.48833442666,     -94.284027761,     ,-70.2707039942,    ,,,,
9.67746981606,     -94.284027761,     ,-70.2707039942,    ,,,,
9.8703753287,      -94.284027761,     ,-70.2707039942,    ,,,,
10.0671261176,     -95.5656107748,    ,-73.591132884,     ,,,,
10.2677988317,     -95.5656107748,    ,-73.591132884,     ,,,,
10.4724716479,     -95.5656107748,    ,-73.591132884,     ,,,,
10.6812243024,     -95.5656107748,    ,-73.591132884,     ,,,,
10.894138122,      -95.5656107748,    ,-73.591132884,     ,,,,
11.1112960512,     -95.5656107748,    ,-73.591132884,     ,,,,
11.3327826904,     -95.5656107748,    ,-73.591132884,     ,,,,
11.5586843258,     -95.5656107748,    ,-73.591132884,     ,,,,
11.7890889645,     -95.5656107748,    ,-73.591132884,     ,,,,
12.0240863655,     -95.5656107748,    ,-73.591132884,     ,,,,
12.2637680788,     -95.5656107748,    ,-73.591132884,     ,,,,
12.5082274796,     -95.5656107748,    ,-73.591132884,     ,,,,
12.7575598042,     -95.5656107748,    ,-73.591132884,     ,,,,
13.0118621858,     -95.5656107748,    ,-73.591132884,     ,,,,
13.2712336946,     -95.5656107748,    ,-73.591132884,     ,,,,
13.5357753774,     -95.5656107748,    ,-73.591132884,     ,,,,
13.8055902924,     -95.5656107748,    ,-73.591132884,     ,,,,
14.0807835534,     -97.7092684981,    ,-76.598840996,     ,,,,
14.3614623705,     -97.7092684981,    ,-76.598840996,     ,,,,
14.6477360884,     -97.7092684981,    ,-76.598840996,     ,,,,
14.9397162348,     -97.7092684981,    ,-76.598840996,     ,,,,
15.2375165569,     -97.7092684981,    ,-76.598840996,     ,,,,
15.5412530713,     -97.7092684981,    ,-76.598840996,     ,,,,
15.8510441072,     -97.7092684981,    ,-76.598840996,     ,,,,
16.167010352,      -97.7092684981,    ,-76.598840996,     ,,,,
16.4892748985,     -97.7092684981,    ,-76.598840996,     ,,,,
16.8179632956,     -97.7092684981,    ,-76.598840996,     ,,,,
17.1532035908,     -97.7092684981,    ,-76.598840996,     ,,,,
17.4951263871,     -97.7092684981,    ,-76.598840996,     ,,,,
17.8438648898,     -97.7092684981,    ,-76.598840996,     ,,,,
18.1995549602,     -99.306999939,     ,-79.1578234301,    ,,,,
18.5623351652,     -99.306999939,     ,-79.1578234301,    ,,,,
18.9323468376,     -99.306999939,     ,-79.1578234301,    ,,,,
19.3097341247,     -99.306999939,     ,-79.1578234301,    ,,,,
19.6946440488,     -99.306999939,     ,-79.1578234301,    ,,,,
20.0872265622,     -99.306999939,     ,-79.1578234301,    ,,,,
20.4876346048,     -99.306999939,     ,-79.1578234301,    ,,,,
20.8960241675,     -99.306999939,     ,-79.1578234301,    ,,,,
21.3125543492,     -99.306999939,     ,-79.1578234301,    ,,,,
21.7373874215,     -99.306999939,     ,-79.1578234301,    ,,,,
22.1706888899,     -98.708496924,     ,-81.3835633722,    ,,,,
22.6126275575,     -98.708496924,     ,-81.3835633722,    ,,,,
23.0633755941,     -98.708496924,     ,-81.3835633722,    ,,,,
23.5231086025,     -98.708496924,     ,-81.3835633722,    ,,,,
23.9920056816,     -98.708496924,     ,-81.3835633722,    ,,,,
